Country,adult_literacy_rate,co2_emissions,power_consumption,gdppc,inf_mort,urban_pop,life_expectancy,net_migration,pop,hdi,net_migration_percent,region
Mongolia,98.42312,8.300172198,2006.388881,4295.235025,13.4,68.543,69.689,-4262,3170208,0.735,-0.134439128,East Asia & Pacific
Montenegro,98.84718,3.240945327,4612.34139,8832.036836,2,67.15,76.77,-2400,622227,0.816,-0.385711324,Europe & Central Asia
Morocco,73.75001,1.744435849,904.4421548,3204.095003,18.3,62.994,76.453,-257096,36029138,0.676,-0.713577993,Middle East & North Africa
Mozambique,,0.285402032,478.9211723,491.8047231,54.8,36.528,60.163,-25000,29495962,0.446,-0.084757364,Sub-Saharan Africa
Myanmar,,0.476580079,215.2988954,1407.813143,35.8,30.852,66.867,-816564,53708395,0.584,-1.520365671,East Asia & Pacific
N. Cyprus,,,,,,,,,,,,Europe & Central Asia
Namibia,91.52727,1.793035405,1652.569026,4957.458006,30.7,51.042,63.373,-24030,2448255,0.645,-0.981515406,Sub-Saharan Africa
Nepal,67.90843,0.333997918,146.4678648,1071.050761,25.6,20.153,70.478,208549,28087871,0.579,0.742487745,South Asia
Netherlands,,10.02797271,6712.774758,52447.83144,3.5,91.876,81.81219512,80000,17231624,0.934,0.464262684,Europe & Central Asia
New Caledonia,,,,,,,,,,,,East Asia & Pacific
New Zealand,,7.325874031,9026.321041,42084.35337,3.9,86.615,81.85853659,74403,4841000,0.921,1.536934518,East Asia & Pacific
Nicaragua,,0.887087256,568.3138108,1912.903745,14.3,58.76,74.275,-106360,6465513,0.651,-1.645035746,Latin America & Caribbean
Niger,,0.097016004,51.19500844,554.6009687,46.7,16.517,62.024,20001,22442948,0.377,0.089119308,Sub-Saharan Africa
Nigeria,62.01601,0.647284835,144.5254622,2229.858696,74.2,51.157,54.332,-300000,195874740,0.534,-0.153159106,Sub-Saharan Africa
Norway,,7.836962479,22999.9346,75419.63487,2,82.616,82.75853659,140000,5311916,0.954,2.635583846,Europe & Central Asia
Oman,95.65153,14.16707578,6445.573417,15474.03248,9.8,85.443,77.633,437000,4829483,0.834,9.048587602,Middle East & North Africa
Pakistan,,0.987832348,447.5010026,1284.702041,55.7,36.907,67.114,-1166895,212215030,0.56,-0.549864446,South Asia
Palestine,,,,,,,,,,,,Middle East & North Africa
Panama,95.41181,2.654140941,2064.175797,15731.01603,12.8,68.059,78.329,56000,4176873,0.795,1.34071589,Latin America & Caribbean
Papua New Guinea,,0.911013497,,2845.180186,35.9,13.25,64.263,-3999,8606316,0.543,-0.046465875,East Asia & Pacific
Paraguay,94.0208,1.092871037,1552.384217,5414.799138,16.6,61.879,74.131,-82780,6956071,0.724,-1.190039607,Latin America & Caribbean
Peru,94.40827,1.856501313,1345.879589,6977.695784,10.3,78.099,76.516,495345,31989256,0.759,1.548473025,Latin America & Caribbean
Philippines,,1.179649658,696.3467801,3485.084218,21.6,47.149,71.095,-335758,106651922,0.712,-0.314816642,East Asia & Pacific
Poland,,7.875581533,3971.799761,15595.22703,3.8,60.037,77.60243902,-146976,37974750,0.872,-0.387036123,Europe & Central Asia
Portugal,96.13759,4.720545309,4662.6008,23145.04082,3.1,65.764,81.32439024,-30001,10283822,0.85,-0.291730059,Europe & Central Asia
Puerto Rico,,,,,,,,,,,,Latin America & Caribbean
Qatar,,38.90147093,14781.64833,64781.7332,5.6,99.188,80.1,200000,2781677,0.848,7.189907383,Middle East & North Africa
Romania,98.8445,3.515261924,2584.411787,12919.52964,5.7,54.084,75.35853659,-369997,19472545,0.816,-1.90009575,Europe & Central Asia
Russia,99.73006,11.99943207,6602.657525,11584.99538,4.9,74.587,72.65731707,912279,144477860,0.824,0.631431695,Europe & Central Asia
Rwanda,73.21559,0.095533926,,801.656187,26.3,17.313,68.7,-44998,12301939,0.536,-0.365779736,Sub-Saharan Africa
S. Sudan,,,,,,,,,,,,Sub-Saharan Africa
Saudi Arabia,,17.36758781,9401.366769,23139.79866,5.7,84.065,74.998,674895,33699947,0.857,2.002658936,Middle East & North Africa
Senegal,,0.727113125,229.3517951,1446.830965,32.7,47.653,67.665,-100001,15854360,0.514,-0.63074763,Sub-Saharan Africa
Serbia,,6.406826438,4271.744667,7402.354559,4.6,56.26,75.8902439,20000,6982604,0.799,0.286426095,Europe & Central Asia
Sierra Leone,43.20633,0.149104947,,504.4625434,80.9,42.484,54.309,-21000,7650154,0.438,-0.274504278,Sub-Saharan Africa
Slovakia,,5.970322225,5137.073835,19329.0968,4.7,53.729,77.26585366,7423,5446771,0.857,0.136282579,Europe & Central Asia
Slovenia,,6.117461533,6727.999302,25739.24781,1.7,54.822,81.37804878,9999,2073894,0.902,0.482136503,Europe & Central Asia
Solomon Is.,,0.272315022,,2127.538508,16.8,24.21,72.835,-7998,652858,0.557,-1.225074978,East Asia & Pacific
Somalia,,,,,,,,,,,,Sub-Saharan Africa
Somaliland,,,,,,,,,,,,Sub-Saharan Africa
South Africa,,8.480658464,4197.907047,6001.400814,27.5,66.856,63.857,727026,57779622,0.705,1.258274068,Sub-Saharan Africa
Spain,98.4365,5.249157873,5355.987006,29613.67114,2.6,80.565,83.43170732,200000,46797754,0.893,0.427370938,Europe & Central Asia
Sri Lanka,91.70982,1.101846767,531.0905766,3853.083693,6.1,18.585,76.812,-489932,21670000,0.78,-2.260876788,South Asia
Sudan,60.69718,,190.2208868,441.5056034,41,34.936,65.095,-250001,41801533,0.508,-0.598066583,Sub-Saharan Africa
Suriname,94.38327,3.076995794,3596.777721,6854.906561,16.1,66.095,71.57,-4999,575991,0.724,-0.867895505,Latin America & Caribbean
Swaziland,88.41938,1.036913457,,3837.026994,38.6,23.981,59.401,-41764,1136191,0.608,-3.675790426,Sub-Saharan Africa
Sweden,,4.35875184,13480.14822,51610.06606,2.1,87.708,82.55853659,200000,10175214,0.937,1.965560626,Europe & Central Asia
Switzerland,,4.117489823,7520.166025,81993.72715,3.6,73.849,83.75365854,259999,8514329,0.946,3.053664006,Europe & Central Asia
Syria,,1.651774073,974.3171391,,17.9,54.821,71.779,-2136954,16906283,0.549,-12.63999899,Middle East & North Africa
Taiwan,,,,,,,,,,,,East Asia & Pacific
Tajikistan,,0.612889431,1499.485086,870.7875893,29.6,27.309,70.879,-99999,9100837,0.656,-1.098789045,Europe & Central Asia
Tanzania,,0.225684764,103.6833158,1122.12181,36,34.5,65.015,-200381,56318348,0.528,-0.355800564,Sub-Saharan Africa
Thailand,93.76776,4.114223358,2538.79638,7808.192916,7.7,50.692,76.931,97222,69428524,0.765,0.140031783,East Asia & Pacific
Timor-Leste,68.06683,0.406011541,,1294.188934,38.1,30.947,69.26,-26924,1267972,0.626,-2.123390737,East Asia & Pacific
Togo,,0.399417466,154.6652373,675.5422133,45.8,42.248,60.76,-9999,7889094,0.513,-0.126744592,Sub-Saharan Africa
Trinidad and Tobago,,31.84485149,7092.932612,17276.46545,15.7,53.187,73.38,-3999,1389858,0.799,-0.287727235,Latin America & Caribbean
Tunisia,,2.64840154,1454.642287,3317.541013,14.5,69.254,76.505,-20000,11565204,0.739,-0.172932531,Middle East & North Africa
Turkey,,4.669466686,2847.126383,9042.492983,8.6,75.63,77.437,1419610,82319724,0.807,1.724507726,Europe & Central Asia
Turkmenistan,,12.47358651,2678.763514,,36.3,52.048,68.073,-25001,5850908,0.71,-0.427301198,Europe & Central Asia
Uganda,76.5275,0.143267095,,776.7685759,33.4,24.361,62.973,843469,42723139,0.528,1.974267387,Sub-Saharan Africa
Ukraine,,4.493971404,3418.569242,3659.031312,7.2,69.473,71.58268293,50001,44622518,0.75,0.112053291,Europe & Central Asia
United Arab Emirates,,22.04082852,11088.35029,43103.32306,6.4,86.789,77.814,200000,9630959,0.866,2.076636397,Middle East & North Africa
United Kingdom,,5.776795985,5130.390253,42300.26713,3.7,83.652,81.25609756,1303250,66460344,0.92,1.960943807,Europe & Central Asia
United States,,15.50220398,12997.44863,65118.35833,5.6,82.459,78.53902439,4774029,326687501,0.92,1.461344247,North America
Uruguay,98.70386,1.975862788,3085.194419,16190.12696,6.1,95.426,77.77,-15000,3449299,0.808,-0.434870969,Latin America & Caribbean
Uzbekistan,99.99289,2.882785961,1645.441629,1724.841134,15.6,50.433,71.573,-44314,32956100,0.71,-0.134463726,Europe & Central Asia
Vanuatu,87.50631,0.527000323,,3058.065675,21.9,25.394,70.323,600,292680,0.597,0.20500205,East Asia & Pacific
Venezuela,,5.500712738,2718.942775,,21,88.24,72.128,-3266243,28870195,0.726,-11.31354672,Latin America & Caribbean
Vietnam,95.00038,2.057565917,1423.688345,2715.276036,15.9,36.628,75.317,-399999,95540395,0.693,-0.41867003,East Asia & Pacific
W. Sahara,,,,,,,,,,,,Sub-Saharan Africa
Yemen,,0.390479572,219.7999224,,43.6,37.273,66.096,-150000,28498687,0.463,-0.526340038,Middle East & North Africa
Zambia,86.74796,0.314182895,717.3491679,1291.343357,42.4,44.072,63.51,-40000,17351822,0.591,-0.230523342,Sub-Saharan Africa
Zimbabwe,,0.782776886,609.1259521,1463.98591,38.4,32.21,61.195,-584288,14439018,0.563,-4.04659098,Sub-Saharan Africa
